strategy_id,params,total_return,sharpe_ratio,max_drawdown,win_rate,num_trades,profit_factor,avg_trade,trades_per_year
0,"{'type': 'Crypto_roc_momentum', 'roc_period': 90, 'rebalance_freq': 'quarterly', 'num_positions': 5, 'universe_type': 'roc_momentum'}",0,0,0,0,0,0,0,0
1,"{'type': 'Crypto_roc_momentum', 'roc_period': 90, 'rebalance_freq': 'quarterly', 'num_positions': 7, 'universe_type': 'roc_momentum'}",0,0,0,0,0,0,0,0
