date,symbol,action,price,size,pnl,pnl_pct,reason
2024-07-18,RUNE-USD,BUY,4.526078224182129,1852.2501809720122,0.0,0.0,Entry signal
2024-07-19,BTC-USD,BUY,66710.15625,0.22532153265782984,0.0,0.0,Entry signal
2024-07-19,UNI-USD,BUY,0.00013299999409355223,113016806.89940731,0.0,0.0,Entry signal
2024-07-19,ARB-USD,BUY,0.0013340000296011567,11267791.841494478,0.0,0.0,Entry signal
2024-07-19,OP-USD,BUY,1.9591480493545532,3260.0462356867893,0.0,0.0,Entry signal
2024-07-20,RUNE-USD,ADD #1,4.8841071128845215,1731.7428786300213,0.0,0.0,Pyramid add #1
2024-07-20,SOL-USD,BUY,173.89178466796875,40.05699670629828,0.0,0.0,Entry signal
2024-07-20,DOGE-USD,BUY,0.13443000614643097,46149.16989405487,0.0,0.0,Entry signal
2024-07-20,AXS-USD,BUY,6.403544902801514,1084.5353364173031,0.0,0.0,Entry signal
2024-07-21,SOL-USD,ADD #1,184.54161071777344,38.558825987425465,0.0,0.0,Pyramid add #1
2024-07-21,DOGE-USD,ADD #1,0.14016899466514587,45213.57143071447,0.0,0.0,Pyramid add #1
2024-07-21,AVAX-USD,BUY,32.60565948486328,173.02689906834132,0.0,0.0,Entry signal
2024-07-21,ICP-USD,BUY,10.732657432556152,829.9330725695012,0.0,0.0,Entry signal
2024-07-23,RUNE-USD,SELL,4.675847053527832,3583.9930596020336,536.7704449197214,3.3090199048154245,Daily loss limit breached (-3.08%)
2024-07-23,BTC-USD,SELL,65927.671875,0.22532153265782984,-176.31057865580408,-1.1729613884692403,Daily loss limit breached (-3.08%)
2024-07-23,UNI-USD,SELL,0.0001320000010309741,113016806.89940731,-113.01602285414077,-0.7518745165317475,Daily loss limit breached (-3.08%)
2024-07-23,ARB-USD,SELL,0.0013180000241845846,11267791.841494478,-180.2847304967185,-1.1994006792755307,Daily loss limit breached (-3.08%)
2024-07-23,OP-USD,SELL,1.873684048652649,3260.0462356867893,-278.6165937749762,-4.362304356225688,Daily loss limit breached (-3.08%)
2024-07-23,SOL-USD,SELL,172.757568359375,78.61582269372374,-89.1673482127361,-0.652254107782857,Daily loss limit breached (-3.08%)
2024-07-23,DOGE-USD,SELL,0.13039100170135498,91362.74132476933,-369.0145183250711,-3.0045408468377333,Daily loss limit breached (-3.08%)
2024-07-23,AXS-USD,SELL,5.96155309677124,1084.5353364173031,-479.355732046734,-6.902298847579013,Daily loss limit breached (-3.08%)
2024-07-23,AVAX-USD,SELL,29.841068267822266,173.02689906834132,-478.3486454761787,-8.478869192400285,Daily loss limit breached (-3.08%)
2024-07-23,ICP-USD,SELL,9.623538970947266,829.9330725695012,-920.4940926866217,-10.33405257345228,Daily loss limit breached (-3.08%)
2024-07-28,BCH-USD,BUY,416.67303466796875,26.695614133736164,0.0,0.0,Entry signal
2024-07-29,BCH-USD,ADD #1,439.7582702636719,25.454177562021616,0.0,0.0,Pyramid add #1
2024-07-31,AAVE-USD,BUY,107.5732421875,70.36875299070819,0.0,0.0,Entry signal
2024-08-01,AAVE-USD,ADD #1,116.7176742553711,65.22622341989079,0.0,0.0,Pyramid add #1
2024-08-02,BCH-USD,SELL,381.5531005859375,52.149791695757784,-1831.4972467466741,-8.428655362835524,Trailing stop (2.0×ATR)
