Method,Final_Value,Total_Return,Annualized,Max_DD,Sharpe
FIXED UNIVERSE (Baseline),1013828.3615785241,913.8283615785241,58.884929264176456,-76.63456370856908,1.088430874848517
ROC (Momentum),135777.48306166448,35.777483061664476,6.304341663362889,-79.17916993687683,0.44248158718315617
Relative Strength,135777.48306166448,35.777483061664476,6.304341663362889,-79.17916993687683,0.44248158718315617
Volume Profile,135777.48306166448,35.777483061664476,6.304341663362889,-79.17916993687683,0.44248158718315617
Composite Score,135777.48306166448,35.777483061664476,6.304341663362889,-79.17916993687683,0.44248158718315617
Breakout Probability,81549.17058433914,-18.45082941566086,-3.995053090572831,-92.18236711093503,0.4228062546734449
Volatility Squeeze,81549.17058433914,-18.45082941566086,-3.995053090572831,-92.18236711093503,0.4228062546734449
