date,equity,daily_pnl,year,month,year_month
2020-10-10,100000.0,0.0,2020,10,2020-10
2020-10-11,100142.29888828557,142.2988882855716,2020,10,2020-10
2020-10-12,99648.30152221954,-493.99736606603255,2020,10,2020-10
2020-10-13,98548.48285644299,-1099.8186657765473,2020,10,2020-10
2020-10-14,98763.96982763895,215.48697119596181,2020,10,2020-10
2020-10-15,98953.43958308538,189.4697554464219,2020,10,2020-10
2020-10-16,98726.36122256692,-227.07836051845516,2020,10,2020-10
2020-10-17,98353.40763701349,-372.9535855534341,2020,10,2020-10
2020-10-18,98527.03117696925,173.62353995576268,2020,10,2020-10
2020-10-19,98717.51549603252,190.48431906326732,2020,10,2020-10
2020-10-20,98797.52651926622,80.01102323370287,2020,10,2020-10
2020-10-21,99936.29808690713,1138.7715676409134,2020,10,2020-10
2020-10-22,99065.46008843063,-870.8379984765052,2020,10,2020-10
2020-10-23,99231.26514751406,165.80505908343184,2020,10,2020-10
2020-10-24,99446.59359314489,215.328445630832,2020,10,2020-10
2020-10-25,99130.8423725139,-315.75122063099116,2020,10,2020-10
2020-10-26,98859.35148966791,-271.4908828459884,2020,10,2020-10
2020-10-27,99004.92868664043,145.5771969725174,2020,10,2020-10
2020-10-28,98296.54768731174,-708.380999328685,2020,10,2020-10
2020-10-29,98063.7433833807,-232.80430393104325,2020,10,2020-10
2020-10-30,98567.80395232134,504.0605689406366,2020,10,2020-10
2020-10-31,98633.25598765326,65.45203533192398,2020,10,2020-10
2020-11-01,98487.91340851715,-145.34257913610782,2020,11,2020-11
2020-11-02,98895.21631352349,407.3029050063342,2020,11,2020-11
2020-11-03,99604.58017135599,709.3638578325044,2020,11,2020-11
2020-11-04,99594.02236871816,-10.557802637835266,2020,11,2020-11
2020-11-05,101752.27818674907,2158.2558180309134,2020,11,2020-11
2020-11-06,101855.68124237373,103.40305562465801,2020,11,2020-11
2020-11-07,101556.12499347667,-299.55624889706087,2020,11,2020-11
2020-11-08,101944.8613842947,388.73639081802685,2020,11,2020-11
2020-11-09,97412.63450022311,-4532.226884071584,2020,11,2020-11
2020-11-10,97827.48956315237,414.85506292925857,2020,11,2020-11
2020-11-11,97225.16216689737,-602.3273962550011,2020,11,2020-11
2020-11-12,98454.17282723433,1229.010660336964,2020,11,2020-11
2020-11-13,98388.90468155796,-65.26814567636757,2020,11,2020-11
2020-11-14,98693.34985888371,304.44517732574604,2020,11,2020-11
2020-11-15,98167.48251320343,-525.867345680279,2020,11,2020-11
2020-11-16,98426.28500981622,258.80249661278503,2020,11,2020-11
2020-11-17,97931.16528274905,-495.11972706716915,2020,11,2020-11
2020-11-18,97550.00641394437,-381.1588688046759,2020,11,2020-11
2020-11-19,96658.20499473473,-891.8014192096452,2020,11,2020-11
2020-11-20,97295.59824599705,637.3932512623287,2020,11,2020-11
2020-11-21,97384.17599077051,88.57774477345811,2020,11,2020-11
2020-11-22,97048.80564619871,-335.37034457179834,2020,11,2020-11
2020-11-23,95857.72064206404,-1191.0850041346712,2020,11,2020-11
2020-11-24,94284.10710824195,-1573.613533822092,2020,11,2020-11
2020-11-25,94283.79005711169,-0.3170511302596424,2020,11,2020-11
2020-11-26,94391.22600311332,107.4359460016276,2020,11,2020-11
2020-11-27,93407.8348533927,-983.3911497206136,2020,11,2020-11
2020-11-28,93036.92941814079,-370.90543525191606,2020,11,2020-11
2020-11-29,92844.50474616031,-192.42467198047962,2020,11,2020-11
2020-11-30,92903.84403570072,59.33928954041039,2020,11,2020-11
2020-12-01,94481.23681899557,1577.3927832948539,2020,12,2020-12
2020-12-02,94838.91488109283,357.67806209725677,2020,12,2020-12
2020-12-03,95683.72298177457,844.8081006817374,2020,12,2020-12
2020-12-04,94706.02607035352,-977.6969114210515,2020,12,2020-12
2020-12-05,95128.97227812714,422.94620777362434,2020,12,2020-12
2020-12-06,95041.18716117935,-87.78511694779445,2020,12,2020-12
2020-12-07,96922.93634748347,1881.7491863041214,2020,12,2020-12
2020-12-08,96803.92169420456,-119.01465327890764,2020,12,2020-12
2020-12-09,95573.81403695687,-1230.1076572476886,2020,12,2020-12
2020-12-10,95021.61242439678,-552.201612560093,2020,12,2020-12
2020-12-11,94937.9045849842,-83.7078394125856,2020,12,2020-12
2020-12-12,94879.300854066,-58.60373091819929,2020,12,2020-12
