fold,start_date,end_date,total_return,final_equity,trades
1,2020-10-10,2021-08-09,-14.25458806550699,85745.41193449301,3
2,2021-08-10,2022-06-09,6.249072705310343,106249.07270531033,1
3,2022-06-10,2023-04-09,0.9867268490309167,100986.7268490309,5
4,2023-04-10,2024-02-07,-1.9909452749761747,98009.05472502383,3
5,2024-02-08,2024-12-07,42.176740768632335,142176.74076863233,11
6,2024-12-08,2025-10-07,27.6323381736159,127632.3381736159,1
