initial_capital,final_equity,total_return_pct,total_pnl,num_trades,num_rebalances,estimated_fees,net_return,frequency
100000,148487.972138442,48.487972138442004,48487.97213844201,29,28,29.0,48.458972138442014,weekly
100000,148487.972138442,48.487972138442004,48487.97213844201,29,6,29.0,48.458972138442014,monthly
100000,148487.972138442,48.487972138442004,48487.97213844201,29,2,29.0,48.458972138442014,quarterly
100000,148487.972138442,48.487972138442004,48487.97213844201,29,0,29.0,48.458972138442014,annual
