threshold,threshold_pct,total_return,annualized,sharpe,max_dd,final_value
20% STOP (Aggressive),20.0,12224.279195741561,129.82956298117566,1.702891240919013,-44.90074427299429,12324279.19574156
30% STOP (Proposed),30.0,11978.18707033696,129.0296394858296,1.6803512311756617,-47.915211054243954,12078187.07033696
40% STOP (Current Default),40.0,19410.014993543187,148.8229773969032,1.8147674129922937,-48.35231012875714,19510014.993543185
50% STOP (Looser),50.0,18018.363510419178,145.6603388366248,1.787597988875747,-48.43840180106558,18118363.51041918
