,Final Value,Total Return (%),CAGR (%),Sharpe,Sortino,Max DD (%),Calmar
tqs,22812.15043286261,356.24300865725223,30.082220379089296,1.6546771326397711,2.5050437040576465,-22.44783006847659,1.3400948014718648
bss,19870.15341391671,297.40306827833416,27.007069225352897,1.4913742868800548,2.2447888641891165,-22.185015761229433,1.2173563235663998
ram,19915.800491431964,298.3160098286393,27.057575721341042,1.1794403801431006,1.7541626257111747,-33.581228516424886,0.8057351358693424
vem,16960.41263395604,239.2082526791208,23.5700207559584,1.0614025202899593,1.5647999257019924,-32.229791718734404,0.7313116064059983
composite,6645.1009067049245,32.9020181340985,5.051953063113412,0.688589537011427,1.0221264977319466,-14.038888703073694,0.3598541999985605
