Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0.8792474907595486,2617,11362.0,9.99000999000964,13890,17686.0,15.550371121573377,5534.820750451803,0.5540355571202255,Long,Closed,0
1,0,0.44937893293768066,34665,34535.0,15.519301449001432,38767,46000.0,20.67143091513331,5115.938733766375,0.3296500651512959,Long,Closed,1
2,0,0.34829952820082927,47066,59231.0,20.6301293548604,47632,55714.0,19.405159914181002,-1265.0047299513596,-0.06131831304553353,Long,Closed,2
3,0,0.5206018377930355,66403,37200.0,19.366388365899184,66986,39011.0,20.309198294144107,903.1343415831434,0.04663411290322587,Long,Closed,3
4,0,0.5146017842276535,67915,39387.0,20.26862047537361,71253,36236.0,18.64711025327325,-1660.4259528299835,-0.08192101454794727,Long,Closed,4
5,0,0.4772613876780512,73680,38993.0,18.609853289726743,75820,33453.0,15.965825201993846,-2678.6037662281246,-0.14393470622932306,Long,Closed,5
6,0,0.41003410837211823,85724,38860.0,15.933925451337927,98273,48675.0,19.958410225012855,3988.5924379959915,0.2503207668553786,Long,Closed,6
7,0,0.4560208173608906,103669,43679.0,19.918533281503187,112880,57729.0,26.325625765426857,6360.848324873585,0.3193432084067861,Long,Closed,7
8,0,0.678323448884802,147162,38732.29969529,26.273027112547425,152720,39507.0,26.798524495091872,472.4258309353522,0.01798140080743516,Long,Closed,8
9,0,0.5777327239454599,156097,46293.0,26.74498098960248,167249,36985.19204072,21.367555743331113,-5425.537783009,-0.20286190463613743,Long,Closed,9
10,0,0.6718820165809736,168961,31738.999999999996,21.32486332426197,176845,30352.0,20.39296296726571,-973.6181832893362,-0.0456564794101892,Long,Closed,10
11,0,1.052011670966191,180009,19346.0,20.352217786508845,197675,21863.0,23.000131162333837,2604.5610268730607,0.1279743099348704,Long,Closed,11
12,0,1.3141453514809176,221605,17467.0,22.95417685431312,273734,27242.0,35.79994766504316,12787.016686206614,0.5570670979561461,Long,Closed,12
13,0,1.3325036101174819,305044,26813.0,35.72841929807328,340982,40753.0,54.303519623117744,18485.068386116505,0.5173771677917429,Long,Closed,13
14,0,1.1330048519309308,342817,47833.0,54.19502108240704,366749,66430.0,75.26551231377174,20941.030697963342,0.3864013756193424,Long,Closed,14
15,0,1.3966333538439317,402642,53783.0,75.11513166977966,411110,56082.0,78.32599175027538,3057.4189570671415,0.040703103211051896,Long,Closed,15
16,0,0.8505282107158634,462596,91907.0,78.16949626225687,482156,103030.0,0.0,9382.25579153029,0.1200245139108012,Long,Open,16
