Fold,Test Start,Test End,Days,Return (%),CAGR (%),Sharpe,Sortino,Max DD (%),SPY Return (%),Outperformance (%)
1,2022-01-04,2023-01-03,251,3.674480483669318,3.687328729989914,0.4672788449955041,0.7451684751963815,-9.912432163968543,-18.961753963706695,22.63623444737601
2,2025-01-03,2025-10-10,193,19.180908777079274,25.721313262613844,3.250296066802895,6.038933334752488,-4.789628078488373,11.283389837912727,7.897518939166547
