strategy_id,params,total_return,sharpe_ratio,max_drawdown,win_rate,num_trades,profit_factor,avg_trade,trades_per_year
3,"{'type': 'Breakout', 'lookback': 10, 'breakout_pct': 2.0}",776.2992155005539,1.3574172502133015,-41.045099261278985,0.7058823529411765,17,7.467440644035196,4566.465973532671,0.008885072704534
7,"{'type': 'Breakout', 'lookback': 20, 'breakout_pct': 2.0}",530.9275925823835,1.2475602328826496,-44.229776858266334,0.6428571428571429,14,7.199576100838988,3792.3399470170248,0.007317118697851529
11,"{'type': 'Breakout', 'lookback': 30, 'breakout_pct': 2.0}",530.9275925823835,1.2475602328826496,-44.229776858266334,0.6428571428571429,14,7.199576100838988,3792.3399470170248,0.007317118697851529
15,"{'type': 'Breakout', 'lookback': 50, 'breakout_pct': 2.0}",530.9275925823835,1.2475602328826496,-44.229776858266334,0.6428571428571429,14,7.199576100838988,3792.3399470170248,0.007317118697851529
1,"{'type': 'Breakout', 'lookback': 10, 'breakout_pct': 1.0}",407.3886967434976,1.0011574249367092,-49.50060213637242,0.4925373134328358,134,1.533833395763846,304.021415480222,0.07003527896515035
9,"{'type': 'Breakout', 'lookback': 30, 'breakout_pct': 1.0}",312.23312375668434,0.9208723759140265,-51.750039602417054,0.48314606741573035,89,1.4904803941672349,350.8237345580724,0.04651596886491329
13,"{'type': 'Breakout', 'lookback': 50, 'breakout_pct': 1.0}",297.81447152598923,0.8943703342283503,-60.33255007669075,0.4473684210526316,76,1.4110742377432717,391.86114674472253,0.03972150150262259
5,"{'type': 'Breakout', 'lookback': 20, 'breakout_pct': 1.0}",285.4194739182636,0.8836796574407221,-51.903054991094066,0.43564356435643564,101,1.4503295181731883,282.59353853293436,0.05278778489164317
14,"{'type': 'Breakout', 'lookback': 50, 'breakout_pct': 1.5}",247.51413564500103,0.864771944733231,-58.644654238403106,0.42857142857142855,28,1.5217777904906125,883.9790558750034,0.014634237395703058
6,"{'type': 'Breakout', 'lookback': 20, 'breakout_pct': 1.5}",216.67940603553285,0.8303627875143321,-58.45537389353645,0.4375,32,1.5790332327632661,677.1231438610403,0.016724842737946354
2,"{'type': 'Breakout', 'lookback': 10, 'breakout_pct': 1.5}",193.73085587994808,0.7928651353922914,-62.04433017913683,0.39473684210526316,38,1.5104485730685446,509.8180417893374,0.019860750751311294
10,"{'type': 'Breakout', 'lookback': 30, 'breakout_pct': 1.5}",126.3801998228522,0.6429990420281124,-54.81575517598647,0.4666666666666667,30,1.383063535560208,421.2673327428405,0.015679540066824704
59,"{'type': 'RSI', 'period': 28, 'oversold': 30, 'overbought': 80}",116.68739014207486,0.5816921470160095,-82.16041772195418,0.5857843137254902,408,1.0865781011826119,28.599850525018343,0.213241744908816
63,"{'type': 'RSI', 'period': 28, 'oversold': 35, 'overbought': 80}",76.33578547226986,0.5113753237520913,-83.9641759332815,0.5756207674943566,443,1.0582808885035249,17.23155428267936,0.2315345416534448
55,"{'type': 'RSI', 'period': 28, 'oversold': 25, 'overbought': 80}",54.306366225357216,0.45196567820167033,-85.06184978438652,0.5907692307692308,325,1.0517429800010576,16.70965114626383,0.16986168405726765
51,"{'type': 'RSI', 'period': 28, 'oversold': 20, 'overbought': 80}",13.45637761792228,0.2999449725733738,-67.88816772932313,0.5497630331753555,211,1.0252134939914164,6.377430150674113,0.11027943180333376
62,"{'type': 'RSI', 'period': 28, 'oversold': 35, 'overbought': 75}",-26.843783711096563,0.18100627911084002,-85.20442181914028,0.573953488372093,1075,0.9800321207876445,-2.497096159171751,0.5618501857278853
12,"{'type': 'Breakout', 'lookback': 50, 'breakout_pct': 0.5}",-19.16426937384913,0.11428069397491282,-78.19953921328681,0.36827195467422097,353,0.9767980036035963,-5.428971494008231,0.1844959214529707
54,"{'type': 'RSI', 'period': 28, 'oversold': 25, 'overbought': 75}",-27.863406989699087,0.1006797816696968,-83.24366479862593,0.595,600,0.9617521856615022,-4.64390116494983,0.31359080133649414
58,"{'type': 'RSI', 'period': 28, 'oversold': 30, 'overbought': 75}",-49.09900489937172,0.010800387916101453,-85.4606033138609,0.5757575757575758,891,0.9484222012997189,-5.510550493756658,0.46568233998469377
47,"{'type': 'RSI', 'period': 21, 'oversold': 35, 'overbought': 80}",-64.2725540555692,-0.05934359213318486,-91.64675382353778,0.5550774526678142,1162,0.9472915855303473,-5.531200865367397,0.607320851921677
4,"{'type': 'Breakout', 'lookback': 20, 'breakout_pct': 0.5}",-44.786562091405955,-0.0645613680414564,-76.06717096225692,0.3588235294117647,510,0.9438052092200893,-8.781678841452147,0.26655218113601997
35,"{'type': 'RSI', 'period': 21, 'oversold': 20, 'overbought': 80}",-51.7224335923268,-0.08046987721731856,-79.76815652081964,0.5637583892617449,596,0.895024152093435,-8.678260669853486,0.31150019599425083
8,"{'type': 'Breakout', 'lookback': 30, 'breakout_pct': 0.5}",-47.57761366484007,-0.09733932245911048,-79.09564239067872,0.3586206896551724,435,0.9415167458469014,-10.937382451687357,0.22735333096895824
43,"{'type': 'RSI', 'period': 21, 'oversold': 30, 'overbought': 80}",-68.47225766243842,-0.13061519408867311,-89.37048094104279,0.5638397017707363,1073,0.9237481440759416,-6.381384684290619,0.5608048830567637
50,"{'type': 'RSI', 'period': 28, 'oversold': 20, 'overbought': 75}",-40.98714371894404,-0.1315422405960682,-60.8861203085515,0.5695364238410596,302,0.880230297124937,-13.571901893690086,0.1578407033393687
