Date,ROC,BSS,SPY,BSS-ROC,BSS_Wins,Year,Month,Quarter
2020-11-30,0.0,0.0,10.87769446935054,0.0,False,2020,November,2020Q4
2020-12-31,0.0,0.0,3.704836883183815,0.0,False,2020,December,2020Q4
2021-01-31,0.0,0.0,-1.0190589578531695,0.0,False,2021,January,2021Q1
2021-02-28,0.0,0.0,2.7805628454696363,0.0,False,2021,February,2021Q1
2021-03-31,0.0,0.0,4.5399270264655955,0.0,False,2021,March,2021Q1
2021-04-30,2.1186613250467223,2.1186613250467223,5.2910539996771755,0.0,False,2021,April,2021Q2
2021-05-31,7.678377966625938,7.678377966625938,0.6566135817859697,0.0,False,2021,May,2021Q2
2021-06-30,-7.147662098325524,-7.147662098325524,2.2427179810061926,0.0,False,2021,June,2021Q2
2021-07-31,2.5297363508325565,2.5297363508325565,2.441246907333805,0.0,False,2021,July,2021Q3
2021-08-31,-0.07655451490136134,-0.07655451490136134,2.9760075669107433,0.0,False,2021,August,2021Q3
2021-09-30,-3.22352592492412,-3.22352592492412,-4.6605561485606355,0.0,False,2021,September,2021Q3
2021-10-31,1.4797178527087285,1.4797178527087285,7.0163667182331135,0.0,False,2021,October,2021Q4
2021-11-30,-0.6900653696985337,-0.6900653696985337,-0.8034896044420536,0.0,False,2021,November,2021Q4
2021-12-31,3.2990977123064535,3.2990977123064535,4.624779364299925,0.0,False,2021,December,2021Q4
2022-01-31,-16.339573559427013,-3.3839173841171633,-5.27413989603197,12.95565617530985,True,2022,January,2022Q1
2022-02-28,-0.6851973202789741,1.043910810474169,-2.9516825610862996,1.729108130753143,True,2022,February,2022Q1
2022-03-31,3.811310790316358,6.093464349827249,3.7590268140081706,2.282153559510891,True,2022,March,2022Q1
2022-04-30,-7.963084960780975,-2.6382398547033725,-8.77690985621522,5.3248451060776025,True,2022,April,2022Q2
2022-05-31,0.6179091373779144,0.36875951361736714,0.2257424192056101,-0.24914962376054728,False,2022,May,2022Q2
2022-06-30,-1.2083758295214353,0.6168284138933222,-8.246042194229142,1.8252042434147575,True,2022,June,2022Q2
2022-07-31,-2.2932080717643633,-2.0524821944244542,9.20874078491558,0.24072587733990902,True,2022,July,2022Q3
2022-08-31,-2.943328245830701,-2.943328245830712,-4.080201094069791,-1.1102230246251565e-14,False,2022,August,2022Q3
2022-09-30,-2.888181063677542,-2.888181063677542,-9.244597867240357,0.0,False,2022,September,2022Q3
2022-10-31,-1.7844407703562548,-1.784440770356266,8.127579316414103,-1.1102230246251565e-14,False,2022,October,2022Q4
2022-11-30,8.491865963730461,8.491865963730483,5.559135356490819,2.1316282072803006e-14,True,2022,November,2022Q4
2022-12-31,2.930648566594085,2.930648566594085,-5.762818552815496,0.0,False,2022,December,2022Q4
2023-01-31,5.759257431981046,5.759257431981046,6.2887307115686575,0.0,False,2023,January,2023Q1
2023-02-28,-5.3675963916421825,-5.3675963916421825,-2.5142659212259777,0.0,False,2023,February,2023Q1
2023-03-31,7.916128247166143,7.916128247166143,3.707778537715245,0.0,False,2023,March,2023Q1
2023-04-30,3.032886427543602,1.5014676400446625,1.5974908214640537,-1.5314187874989393,False,2023,April,2023Q2
2023-05-31,19.29450198678273,36.34366627511936,0.4616329494175675,17.04916428833663,True,2023,May,2023Q2
2023-06-30,6.191595241757231,11.821036615237546,6.479967622122462,5.629441373480315,True,2023,June,2023Q2
2023-07-31,9.624068855080914,4.631798685303079,3.273326087719175,-4.992270169777835,False,2023,July,2023Q3
2023-08-31,-4.198897674727176,3.0492120859106686,-1.625195303640159,7.248109760637845,True,2023,August,2023Q3
2023-09-30,-3.0897794453562444,-6.332242731912407,-4.743453397257358,-3.2424632865561627,False,2023,September,2023Q3
2023-10-31,9.25248523902329,9.71510206302144,-2.1708467462345005,0.4626168239981503,True,2023,October,2023Q4
2023-11-30,2.531372564947043,2.531372564947043,9.134368491893463,0.0,False,2023,November,2023Q4
2023-12-31,1.2821182352028115,1.2821182352028115,4.565539484749492,0.0,False,2023,December,2023Q4
2024-01-31,7.088608158544019,2.6058041733070914,1.5926524893616456,-4.482803985236927,False,2024,January,2024Q1
2024-02-29,6.593490179007899,3.523588023629509,5.218676540808809,-3.06990215537839,False,2024,February,2024Q1
2024-03-31,4.134892874671237,6.7922473351919255,3.2701985078115614,2.657354460520689,True,2024,March,2024Q1
2024-04-30,-6.1880246014831,-0.34229176300769604,-4.031956244380652,5.845732838475405,True,2024,April,2024Q2
2024-05-31,9.487046819459266,0.0,5.057948500239506,-9.487046819459266,False,2024,May,2024Q2
2024-06-30,6.418473337281139,0.0,3.5280195275989357,-6.418473337281139,False,2024,June,2024Q2
2024-07-31,-9.358683603723838,-1.7810767063275557,1.2109134330343219,7.577606897396283,True,2024,July,2024Q3
2024-08-31,-1.3546117119582535,12.835269008716455,2.336555999797052,14.189880720674708,True,2024,August,2024Q3
2024-09-30,2.2404177734954622,4.557821880665247,2.100466981754856,2.317404107169785,True,2024,September,2024Q3
2024-10-31,2.1058691165565913,0.49303493129226883,-0.8923539741827025,-1.6128341852643224,False,2024,October,2024Q4
2024-11-30,23.73488478638317,0.0,5.963349995849954,-23.73488478638317,False,2024,November,2024Q4
2024-12-31,6.36156933280132,-0.7558927143707095,-2.4060244422572152,-7.11746204717203,False,2024,December,2024Q4
2025-01-31,4.181767800961622,4.538540500992871,2.68564962055593,0.3567727000312493,True,2025,January,2025Q1
2025-02-28,1.8216241876358952,1.8216241876358952,-1.2694879396753067,0.0,False,2025,February,2025Q1
