Metric,Value
Total Return (%),183.4202927101346
CAGR (%),19.782129883535205
Sharpe,1.4556756115811051
Sortino,1.660670862917694
Max DD (%),-24.329824367162512
Calmar,0.8130814914650497
Best Month (%),20.81488453642615
Worst Month (%),-8.009896656874238
Win Rate (%),56.52173913043478
SPY Return (%),118.70959848721712
Outperformance (%),64.71069422291747
