Qualifier,Total Return %,Annualized %,Sharpe Ratio,Max Drawdown %,Trades,Win Rate %,Profit Factor,Final Value
ROC,247.36566301674608,28.354076205681334,1.3735377033639833,-32.04988600923788,1771,61.94240542066629,5.631711365984098,34736.56630167461
BSS,256.23644910686426,29.00456176747621,1.6902571559462924,-16.246449844807962,808,70.66831683168317,10.342961354190196,35623.644910686424
ADAPTIVE,247.36566301674608,28.354076205681334,1.3735377033639833,-32.04988600923788,1771,61.94240542066629,5.631711365984098,34736.56630167461
