strategy,bear_asset,allocation,final_value,total_return,sharpe,max_drawdown,trades,win_rate,profit_factor
Original (Cash),Cash,0.0,27105.009534430377,171.05009534430374,0.9312579397721404,-31.315461451526318,3051,66.17502458210423,2.579610904732396
TLT (Treasury Bonds),TLT,1.0,20903.93363008685,109.03933630086851,0.7993595228735633,-43.6628289812352,2177,62.93063849333945,2.6823613455338613
SH 50% (Moderate),SH,0.5,17462.547236142025,74.62547236142025,0.6688552284579641,-34.88891525397697,2447,59.25623212096445,2.0971357112925464
SH 100% (Full Inverse),SH,1.0,13471.49369808913,34.714936980891295,0.408842455378649,-47.07343324896254,2177,62.8387689480937,1.4408542038228807
