Frequency,Code,Total Return %,Sharpe Ratio,Max Drawdown %,Total Trades,Win Rate %,Profit Factor,Final Value
Quarterly,QS,134.0361326667553,1.4793475940501577,14.36432697675002,2963,71.14343707713125,4.154180428872231,23403.61326667553
Monthly,MS,52.7769908072239,0.8065360858840515,22.63037718442913,3074,66.71014020215193,1.6049642808369524,15277.69908072239
Weekly,W-FRI,22.417005842128187,0.4442813886968601,20.92536861670179,3203,72.18397997496872,1.1597690573096284,12241.700584212818
