simulation,return_pct
1,91084240451438.81
2,24263748963576.707
3,50226601650504.48
4,51826042964804.15
5,34547716777799.414
6,58674264358664.94
7,27302150180054.51
8,8979431580360.342
9,20641144769920.78
10,51963668170635.43
11,8561866983985.797
12,26711256296210.164
13,29117865294690.047
14,26838481917106.94
15,2712070526243.383
16,5110189065816.924
17,22517890155557.39
18,93837971072634.19
19,22354414835870.973
20,14260605593020.15
21,21605795385242.207
22,2962196269588.338
23,17983597940934.27
24,2943497510702.0786
25,14711794213673.828
26,28169454419599.52
27,7621831297135.466
28,7454451793264.128
29,13262063480431.55
30,80792980961381.9
31,33856548976045.496
32,6238777499380.87
33,27149969305716.61
34,29361533253440.84
35,225640671529520.12
36,36720872293117.77
37,18856097418656.344
38,19556148631465.65
39,17580091982630.393
40,7787517976352.016
41,2337043109373.1885
42,63002041103903.45
43,71636227447985.0
44,68449428186149.46
45,28276426732971.83
46,20069345385948.12
47,12837756264841.04
48,12437440477752.629
49,27331481382388.36
50,70832087485387.2
51,17952756626531.535
52,15224494046657.537
53,57137403963486.39
54,7538474212043.718
55,4943782260125.832
56,20009466937570.598
57,8440356011275.393
58,3961333862789.8286
59,13713717468827.148
60,30682681820384.754
61,14692641695458.8
62,18740617803895.516
63,36340159501801.62
64,24896133306873.387
65,11356044428480.87
66,94307083894708.12
67,11101285672362.574
68,3341355808769.114
69,5166955453836.832
70,5198193714025.687
71,4254069864490.6294
72,5962365885966.028
73,9868733531542.684
74,9497331569166.092
75,4273335920745.0103
76,7555849415699.422
77,5805788255252.255
78,44729352915156.07
79,34622494806527.473
80,37179715850858.36
81,26300532945788.074
82,3091423000385.3647
83,13463938200451.395
84,6547391772009.241
85,21247071068087.938
86,3681236293904.1934
87,70497207987585.03
88,15937765825058.078
89,6024729885588.232
90,11594295540833.744
91,57316398836050.83
92,113718488321249.48
93,20955396347438.797
94,16797884387498.295
95,7787151440050.358
96,6973342818998.015
97,11108969205145.162
98,13699888335759.424
99,36269851599233.92
100,69474038323248.42
101,37173516662166.195
102,14163860847931.01
103,26191366783314.17
104,2626292324048.7725
105,48927992526203.71
106,14242217647749.299
107,8602417210480.661
108,8994295137530.758
109,5624744160286.019
110,33883108102007.453
111,34578557578421.117
112,32347098694530.227
113,33711586915343.74
114,204495844929162.7
115,16701437213946.559
116,74709751546173.06
117,19160863896318.156
118,41241279604129.62
119,75420142104027.92
120,44191618801194.88
121,45862537964076.0
122,10653994528973.887
123,24927871527612.43
124,32130973845135.816
125,11194568107387.469
126,17631605287258.516
127,30256208909627.63
128,27423207064919.625
129,99862985701235.22
130,25088986958295.33
131,12795606099071.432
132,24495067601860.426
133,21077587624372.03
134,17564131120661.414
135,11713416369454.373
136,119066099554932.73
137,106224023260043.53
138,27771707448727.77
139,6989225280647.561
140,3584738396282.6973
141,19799677439345.94
142,7715793004068.267
143,37834201467406.9
144,5414607421138.626
145,61057572318705.06
146,2015515496958.0032
147,29150362915208.312
148,26141640228713.496
149,12392786396378.293
150,3846186169113.4043
151,7630580816235.843
152,25978597165596.81
153,4832823660031.287
154,20903622418315.88
155,15597860092365.143
156,2665782012900.9375
157,10059057497944.75
158,34226569042983.71
159,104303383540082.6
160,17602855672644.094
161,46379725343715.36
162,30053661689827.016
163,33996615777437.0
164,2264985637518.8433
165,13929194735043.988
166,69915280756298.305
167,27227753988095.223
168,13577734557689.93
169,76722130567215.02
170,20325891172208.363
171,62885451331658.69
172,41899537736537.77
173,13119525577447.549
174,141000993486651.72
175,8646877903978.581
176,7916949884372.783
177,18794636953549.043
178,10673398205548.656
179,15725338657838.244
180,72992256670373.12
181,70825115087775.36
182,58846167818695.25
183,11126133591483.691
184,17086236689333.908
185,70844236866798.89
186,36571456246701.46
187,3026469871852.404
188,61167731764714.87
189,26258285592912.062
190,12267253913437.316
191,12377415208870.662
192,25377843735457.504
193,4958004119379.468
194,74681378452827.77
195,23790227361404.32
196,6713990041468.547
197,13313698400316.129
198,39937765143723.58
199,44446965733010.12
200,328229943549476.2
201,6803575809668.591
202,15303816042309.12
203,34974823605250.508
204,148639597440694.72
205,23658918618231.81
206,8194909959835.193
207,10783390819594.883
208,47033694798943.125
209,35686762001778.914
210,4817876792655.53
211,21549405825721.445
212,6626152346333.547
213,11854698945099.555
214,12709331372400.814
215,9447522306854.639
216,17976848515683.82
217,3562566460094.9976
218,24843833662670.918
219,88632394703948.72
220,119648506365089.2
221,41869428901319.24
222,84048194383429.92
223,16829498174843.412
224,83170509885312.58
225,17658311651014.973
226,29304913730570.65
227,14836377441633.453
228,12940980620717.98
229,37150443499712.234
230,77531319967981.11
231,38943917511750.8
232,10111449787974.008
233,5549766737511.195
234,18348158345594.223
235,1993766327047.7852
236,24712252068589.926
237,15990565397914.914
238,5362595424882.786
239,17046477724718.24
240,27570834628595.01
241,8436639546668.264
242,124946758449387.11
243,93317592456455.1
244,4031430567467.688
245,8795335399501.481
246,43934217306781.01
247,22651515716594.8
248,6802955687991.328
249,5163161012785.853
250,20331511904853.09
251,11191362368820.299
252,41453526994436.31
253,43343327260555.63
254,5948059816217.055
255,23203329280408.684
256,123690391870571.7
257,14317009567600.367
258,34257201362987.965
259,11699560273218.254
260,76251307058369.8
261,2547852014274.108
262,9543902647578.355
263,65737564407521.52
264,24317935866098.68
265,55635961038087.52
266,20190572932864.76
267,11811447831562.873
268,10327900317574.83
269,8834152873112.65
270,59949991487367.56
271,3637678769859.279
272,14118227198457.562
273,361660054049786.94
274,23305371990993.652
275,19152843571094.8
276,11041046282105.809
277,5478527353313.576
278,4601700576784.742
279,3312429512709.76
280,18663355747777.46
281,1382492479918.575
282,9614910517673.623
283,20831268967614.9
284,284289305315918.6
285,22363802573289.445
286,24522874499570.195
287,42751804146730.65
288,30966851126980.09
289,8655429097942.953
290,1225487367496.2095
291,56269219745243.14
292,19741133961412.05
293,29823478744888.355
294,34397868167944.33
295,6628310379343.459
296,8858412659346.996
297,15966184188469.312
298,33285756050250.715
299,10530341725767.268
300,2941417522169.234
301,2149380150003.9644
302,11421382487884.902
303,6682093583301.019
304,19546291710716.81
305,37039301637264.28
306,70755590863094.17
307,11531246875532.283
308,8596551548481.85
309,32123669796749.14
310,26653855018237.773
311,11075603678675.38
312,9742275282045.53
313,7076328692337.529
314,15601120251074.258
315,12018146630219.0
316,95839137612361.48
317,984551445201.2495
318,37020553009217.766
319,10545254436348.07
320,14347520192648.95
321,36964566403684.95
322,4787490580398.605
323,18853380333306.125
324,46857417520723.56
325,5758197482641.632
326,4159452102987.6313
327,2348564152895.247
328,67149261979725.586
329,85054204318286.62
330,28818381339613.24
331,27333813198309.03
332,45283288081602.22
333,16367798875697.25
334,7717159915692.5
335,44019631988375.27
336,26441790166759.188
337,59400068124067.38
338,79435842432952.34
339,4656303052365.056
340,33294536085077.17
341,3710195618347.384
342,104492424884209.42
343,14696036138006.05
344,47878400883055.93
345,14004527977724.912
346,2858310349413.9834
347,7787687875346.744
348,30511465954862.633
349,657591046164954.1
350,27298398917077.78
351,18430005804189.754
352,24131592185718.52
353,21419092463070.164
354,6016361889096.463
355,28310575563159.617
356,151054363683944.8
357,9952077369169.398
358,8810515965309.814
359,3547661603428.501
360,11494995624634.81
361,8551415474002.458
362,16143492628958.416
363,106774207676820.39
364,5597183590718.04
365,8278945528808.913
366,23665832507177.582
367,8328870661122.54
368,18186647035227.207
369,24364827642637.562
370,14374866882726.861
371,197721606129817.8
372,39255751026880.72
373,130166658829410.06
374,22093013219380.234
375,10620745321960.469
376,6744849368196.406
377,8613197887354.373
378,12468287292296.826
379,12042333974204.84
380,5906794790904.413
381,3642690327143.502
382,29177492266371.117
383,3117131039132.3154
384,6993282100865.554
385,38532366016570.35
386,16805193943091.66
387,1311097620789.789
388,3567700129596.1416
389,28779015637048.926
390,3834252549248.51
391,216899729306615.53
392,8652988307076.446
393,33167866588019.055
394,14995136376142.518
395,2708149898957.5356
396,45744137173709.93
397,79819422289790.39
398,20441362444796.254
399,9569963233759.273
400,4537977495497.571
401,4394085031344.005
402,15047770270051.113
403,11096152326838.852
404,10259029884413.303
405,4090636316050.788
406,6826228310918.239
407,16576762372756.63
408,4326766902329.12
409,22173329153004.523
410,9299021290562.428
411,114214967356145.36
412,14370105297910.78
413,18217667448392.836
414,12893267953410.158
415,27250077815294.344
416,23674786220534.695
417,40711106672052.05
418,6963059149275.29
419,16312539282805.86
420,6875323864777.043
421,21521473813950.523
422,14128743924389.295
423,34003086855284.55
424,5823361282639.738
425,1998666066354.042
426,2886519172746.102
427,4981367170796.338
428,9761719750613.16
429,9129384408846.613
430,25363465095376.945
431,16628387609555.072
432,40012213899362.19
433,5274744762380.651
434,4365180919850.8706
435,75157275525302.6
436,22549928940327.824
437,18632732648514.062
438,368306933439410.8
439,2906264275468.4834
440,11181411771954.14
441,22720092013344.914
442,38508125294984.98
443,7096467366179.232
444,40822414928828.195
445,66692061258841.82
446,26276161968547.957
447,8000620191158.885
448,23499094487831.184
449,15571579890422.598
450,99157665334167.9
451,29953602407273.242
452,14155194990202.41
