date,ticker,bss_score,rank_in_100,in_50_universe
2024-10-01,AON,13.007801230328862,1,False
2024-10-01,GILD,11.04325489752093,2,False
2024-10-01,UL,9.41265779083048,5,False
2025-01-02,CME,8.129700191181007,1,False
2025-01-02,FTNT,4.6294733885744455,5,False
2025-01-02,COF,4.45202825991466,6,False
2025-04-01,PM,9.294103077634698,1,False
2025-04-01,CVS,8.128023073272688,2,False
2025-04-01,MNST,6.937146202281857,3,False
2025-04-01,MMC,6.9159335888107085,4,False
2025-04-01,CME,6.283474839327186,5,False
2025-04-01,KO,6.200666322120643,6,False
2025-04-01,GILD,5.526090861495616,7,False
2025-07-01,SNOW,8.396623199566918,4,False
2025-07-01,HCA,7.568674241432377,6,False
2025-10-01,HCA,7.9371065351581676,5,False
2025-10-01,CVS,7.178459276768193,7,False
