Qualifier,Total Return %,Annualized %,Sharpe Ratio,Max Drawdown %,Trades,Win Rate %,Profit Factor,Final Value
ROC,198.16473050710508,24.483731308016242,1.2530121066748696,-32.04990214808176,1775,61.352112676056336,4.742929291073041,29816.47305071051
ANM,155.17881273351892,20.658722763371706,1.4006304736911839,-20.801639174144693,1811,62.562120375483154,3.772969110252453,25517.881273351893
BSS,256.23607373892787,29.00453451751288,1.690255731701519,-16.246469566630218,808,70.66831683168317,10.342944181008747,35623.60737389279
VEM,184.101019582562,23.283828521424944,1.2266535789670172,-30.7636875625809,1776,61.317567567567565,4.893816958291282,28410.1019582562
TQS,157.61337940949375,20.888616697023355,1.4582607704348018,-17.496620657329963,1775,66.0281690140845,4.900844856060096,25761.337940949372
RAM,68.59318999579843,11.038562580677457,0.6654951654991867,-27.046759627041638,264,40.909090909090914,3.272918591650536,16859.318999579842
COMPOSITE,53.94086091492119,9.033056467252742,0.9649347636288771,-18.129286299393975,244,50.81967213114754,9.11872574129112,15394.08609149212
