date,symbol,action,price,shares,pnl,reason
2021-03-30,SOL-USD,BUY,19.233924865722656,519.9146856303518,0.0,50-day breakout
2021-03-30,SAND-USD,BUY,0.8490599989891052,11777.73068087773,0.0,50-day breakout
2021-03-30,RUNE-USD,BUY,7.2969818115234375,1370.4296184770449,0.0,50-day breakout
2021-04-01,ETH-USD,BUY,1977.27685546875,5.092380609651683,0.0,50-day breakout
2021-04-01,BNB-USD,BUY,335.212890625,30.03776585061664,0.0,50-day breakout
2021-04-02,DOT-USD,BUY,41.164283752441406,248.67467405382348,0.0,50-day breakout
2021-04-02,UNI-USD,BUY,0.001366000040434301,7493788.097943913,0.0,50-day breakout
2021-04-04,XRP-USD,BUY,0.6467289924621582,16283.278728075584,0.0,50-day breakout
2021-04-06,DOGE-USD,BUY,0.06445799767971039,175059.69702927157,0.0,50-day breakout
2021-04-14,UNI-USD,SELL,0.0006489999941550195,7493788.097943913,-5373.046413032914,20-day low breakdown
2021-04-18,SAND-USD,SELL,0.5606470108032227,11777.73068087773,-3396.8504997204964,20-day low breakdown
2021-04-21,DOT-USD,SELL,33.871028900146484,248.67467405382348,-1813.647773185905,20-day low breakdown
2021-04-26,MATIC-USD,BUY,0.5351930260658264,31365.617585506323,0.0,50-day breakout
2021-05-17,BNB-USD,SELL,511.9643859863281,30.03776585061664,5309.220031409928,20-day low breakdown
2021-05-19,SOL-USD,SELL,35.107181549072266,519.9146856303518,8252.739258453592,Bear regime (BTC < 200MA)
2021-05-19,RUNE-USD,SELL,11.679075241088867,1370.4296184770449,6005.350626810117,Bear regime (BTC < 200MA)
2021-05-19,ETH-USD,SELL,2460.67919921875,5.092380609651683,2461.6687219726773,Bear regime (BTC < 200MA)
2021-05-19,XRP-USD,SELL,1.0703129768371582,16283.278728075584,6897.336082326936,Bear regime (BTC < 200MA)
2021-05-19,DOGE-USD,SELL,0.33312299847602844,175059.69702927157,47032.41364177245,Bear regime (BTC < 200MA)
