strategy,total_return_%,sharpe_ratio,max_drawdown_%,win_rate_%,num_trades,final_value
60/40 BTC/ETH (2020-2025),2231.6308323451976,1.1540567604863259,-76.35576422824171,96.0,25,2331630.832345198
35/35/30 BTC/ETH/SOL (2020-2025),13461.87964681714,1.4836728203039111,-84.0985548840514,86.11111111111111,36,13561879.646817142
Crypto Hybrid (2020-2025),26530.278212320092,1.893996852389064,-41.68543620743,60.22099447513812,181,26630278.212320082
