Datetime,open,high,low,close,volume
2020-01-01 00:00,1.121200,1.122450,1.120080,1.120120,0
2020-01-02 00:00,1.120110,1.121410,1.116350,1.117000,0
2020-01-03 00:00,1.117000,1.117980,1.112490,1.115480,0
2020-01-05 00:00,1.116560,1.117090,1.115890,1.116420,0
2020-01-06 00:00,1.116440,1.120550,1.115710,1.119090,0
2020-01-07 00:00,1.119080,1.119240,1.113350,1.114760,0
2020-01-08 00:00,1.114780,1.115490,1.110160,1.111540,0
2020-01-09 00:00,1.111540,1.112040,1.109240,1.110740,0
2020-01-10 00:00,1.110740,1.112910,1.108500,1.111650,0
2020-01-12 00:00,1.111410,1.113060,1.111280,1.112720,0
2020-01-13 00:00,1.112720,1.114690,1.111250,1.113640,0
2020-01-14 00:00,1.113650,1.114440,1.110450,1.113310,0
2020-01-15 00:00,1.113300,1.116340,1.111850,1.115100,0
2020-01-16 00:00,1.115110,1.117270,1.112790,1.113190,0
2020-01-17 00:00,1.113180,1.114110,1.108620,1.108900,0
2020-01-19 00:00,1.109100,1.109890,1.108890,1.109650,0
2020-01-20 00:00,1.109650,1.110230,1.107660,1.109920,0
2020-01-21 00:00,1.109920,1.111790,1.107730,1.108240,0
2020-01-22 00:00,1.108250,1.109960,1.107000,1.108520,0
2020-01-23 00:00,1.108510,1.110870,1.103620,1.104860,0
2020-01-24 00:00,1.104870,1.106170,1.101950,1.102240,0
2020-01-26 00:00,1.103180,1.103580,1.102440,1.102770,0
2020-01-27 00:00,1.102760,1.103750,1.100960,1.102230,0
2020-01-28 00:00,1.102220,1.102760,1.099780,1.101310,0
2020-01-29 00:00,1.101310,1.102070,1.099230,1.101710,0
2020-01-30 00:00,1.101710,1.103930,1.100690,1.102430,0
2020-01-31 00:00,1.102430,1.109540,1.101680,1.109440,0
2020-02-02 00:00,1.109390,1.109390,1.107990,1.108170,0
2020-02-03 00:00,1.108180,1.108620,1.103560,1.105990,0
2020-02-04 00:00,1.105970,1.106370,1.103280,1.103450,0
2020-02-05 00:00,1.103450,1.104790,1.099370,1.099560,0
2020-02-06 00:00,1.099580,1.101380,1.096440,1.098120,0
2020-02-07 00:00,1.098110,1.098330,1.094190,1.094380,0
2020-02-09 00:00,1.094390,1.095720,1.094190,1.095670,0
2020-02-10 00:00,1.095680,1.095740,1.090760,1.090930,0
2020-02-11 00:00,1.090930,1.092480,1.089130,1.091210,0
2020-02-12 00:00,1.091200,1.092550,1.086520,1.086900,0
2020-02-13 00:00,1.086890,1.088870,1.082710,1.083300,0
2020-02-14 00:00,1.083310,1.086110,1.082940,1.082990,0
2020-02-16 00:00,1.084060,1.084160,1.083340,1.083760,0
2020-02-17 00:00,1.083790,1.085090,1.082290,1.082990,0
2020-02-18 00:00,1.083000,1.083720,1.078540,1.079720,0
2020-02-19 00:00,1.079720,1.081520,1.078220,1.079850,0
2020-02-20 00:00,1.079870,1.082110,1.077780,1.079460,0
2020-02-21 00:00,1.079460,1.086350,1.078940,1.084560,0
2020-02-23 00:00,1.081450,1.084230,1.081320,1.082110,0
2020-02-24 00:00,1.082100,1.087200,1.080500,1.086080,0
2020-02-25 00:00,1.086080,1.089020,1.083000,1.086740,0
2020-02-26 00:00,1.086730,1.091440,1.085490,1.091250,0
2020-02-27 00:00,1.091240,1.100640,1.090580,1.099410,0
2020-02-28 00:00,1.099420,1.105300,1.095090,1.102510,0
2020-03-01 00:00,1.104230,1.107390,1.103620,1.105270,0
2020-03-02 00:00,1.105270,1.118450,1.103820,1.114440,0
2020-03-03 00:00,1.114440,1.121340,1.109530,1.116110,0
2020-03-04 00:00,1.116110,1.118750,1.109550,1.113830,0
2020-03-05 00:00,1.113820,1.124870,1.111950,1.123070,0
2020-03-06 00:00,1.123070,1.135460,1.121900,1.128040,0
2020-03-08 00:00,1.134730,1.149540,1.133500,1.140110,0
2020-03-09 00:00,1.140100,1.148440,1.136530,1.137510,0
2020-03-10 00:00,1.137540,1.140100,1.127490,1.133740,0
2020-03-11 00:00,1.133730,1.136670,1.125010,1.129570,0
2020-03-12 00:00,1.129570,1.131950,1.105500,1.121890,0
2020-03-13 00:00,1.121900,1.122060,1.105500,1.109920,0
2020-03-15 00:00,1.107050,1.119960,1.107050,1.113330,0
2020-03-16 00:00,1.113310,1.123660,1.109420,1.117920,0
2020-03-17 00:00,1.117920,1.118110,1.095500,1.103060,0
2020-03-18 00:00,1.103060,1.104510,1.080160,1.089610,0
2020-03-19 00:00,1.089610,1.094750,1.065270,1.076460,0
2020-03-20 00:00,1.076500,1.083090,1.063750,1.069290,0
2020-03-22 00:00,1.070110,1.073720,1.063570,1.073540,0
2020-03-23 00:00,1.073580,1.082790,1.066640,1.078840,0
2020-03-24 00:00,1.078860,1.088790,1.074570,1.081130,0
2020-03-25 00:00,1.081110,1.093360,1.078480,1.090620,0
2020-03-26 00:00,1.090620,1.108680,1.089670,1.105820,0
2020-03-27 00:00,1.105840,1.114730,1.095330,1.113790,0
2020-03-29 00:00,1.111720,1.113830,1.107920,1.108030,0
2020-03-30 00:00,1.108030,1.110600,1.098320,1.102650,0
2020-03-31 00:00,1.102620,1.103900,1.092650,1.101950,0
2020-04-01 00:00,1.101950,1.103290,1.090260,1.093890,0
2020-04-02 00:00,1.093890,1.096440,1.082060,1.084530,0
2020-04-03 00:00,1.084520,1.085120,1.077270,1.079550,0
2020-04-05 00:00,1.080820,1.082320,1.079850,1.081470,0
2020-04-06 00:00,1.081480,1.083540,1.076830,1.081440,0
2020-04-07 00:00,1.081450,1.092630,1.081130,1.085960,0
2020-04-08 00:00,1.085970,1.088830,1.082990,1.086640,0
2020-04-09 00:00,1.086650,1.095160,1.084090,1.094270,0
2020-04-10 00:00,1.094270,1.095240,1.092770,1.093260,0
2020-04-12 00:00,1.094820,1.094820,1.092490,1.093330,0
2020-04-13 00:00,1.093330,1.096780,1.089260,1.094680,0
2020-04-14 00:00,1.094690,1.099070,1.091490,1.097720,0
2020-04-15 00:00,1.097720,1.097880,1.085640,1.087360,0
2020-04-16 00:00,1.087360,1.090480,1.081660,1.086650,0
2020-04-17 00:00,1.086640,1.089260,1.081190,1.087110,0
2020-04-19 00:00,1.087480,1.087770,1.085630,1.086090,0
2020-04-20 00:00,1.086100,1.089670,1.082570,1.083760,0
2020-04-21 00:00,1.083750,1.088020,1.081650,1.085060,0
2020-04-22 00:00,1.085060,1.088520,1.080320,1.080920,0
2020-04-23 00:00,1.080900,1.084660,1.075600,1.077110,0
2020-04-24 00:00,1.077100,1.082940,1.072710,1.081960,0
2020-04-26 00:00,1.082110,1.083320,1.081120,1.083170,0
2020-04-27 00:00,1.083170,1.086020,1.081650,1.082420,0
2020-04-28 00:00,1.082420,1.088840,1.080970,1.084670,0
2020-04-29 00:00,1.084670,1.088560,1.083920,1.086300,0
2020-04-30 00:00,1.086290,1.097260,1.083300,1.094500,0
2020-05-01 00:00,1.094500,1.101870,1.094390,1.097770,0
2020-05-03 00:00,1.096760,1.097360,1.094060,1.094250,0
2020-05-04 00:00,1.094240,1.094890,1.089560,1.090360,0
2020-05-05 00:00,1.090360,1.092580,1.082580,1.083460,0
2020-05-06 00:00,1.083460,1.084100,1.078190,1.080060,0
2020-05-07 00:00,1.080060,1.085470,1.076650,1.084730,0
2020-05-08 00:00,1.084730,1.087560,1.081510,1.083710,0
2020-05-10 00:00,1.082650,1.085040,1.082390,1.084710,0
2020-05-11 00:00,1.084720,1.084960,1.078430,1.080680,0
2020-05-12 00:00,1.080670,1.088510,1.080010,1.085090,0
2020-05-13 00:00,1.085080,1.089650,1.080720,1.080870,0
2020-05-14 00:00,1.080880,1.082020,1.077480,1.080520,0
2020-05-15 00:00,1.080500,1.085090,1.078880,1.081830,0
2020-05-17 00:00,1.080880,1.082680,1.080670,1.082370,0
2020-05-18 00:00,1.082360,1.092700,1.079990,1.090820,0
2020-05-19 00:00,1.090850,1.097590,1.090750,1.094030,0
2020-05-20 00:00,1.094020,1.099890,1.093740,1.096080,0
2020-05-21 00:00,1.096070,1.100830,1.092990,1.093470,0
2020-05-22 00:00,1.093460,1.093460,1.088520,1.089800,0
2020-05-24 00:00,1.089560,1.090860,1.088720,1.088950,0
2020-05-25 00:00,1.088960,1.091970,1.087060,1.091810,0
2020-05-26 00:00,1.091800,1.099570,1.091450,1.096190,0
2020-05-27 00:00,1.096190,1.103510,1.093400,1.101150,0
2020-05-28 00:00,1.101150,1.109340,1.099160,1.108960,0
2020-05-29 00:00,1.108970,1.114510,1.108090,1.110360,0
2020-05-31 00:00,1.111290,1.114020,1.110230,1.113290,0
2020-06-01 00:00,1.113290,1.115400,1.110040,1.112680,0
2020-06-02 00:00,1.112670,1.121090,1.111510,1.120760,0
2020-06-03 00:00,1.120760,1.125770,1.118380,1.121630,0
2020-06-04 00:00,1.121640,1.136230,1.119470,1.133900,0
2020-06-05 00:00,1.133890,1.138360,1.127840,1.129110,0
2020-06-07 00:00,1.129340,1.131980,1.128490,1.128960,0
2020-06-08 00:00,1.128970,1.131850,1.126820,1.128720,0
2020-06-09 00:00,1.128730,1.136380,1.124090,1.134240,0
2020-06-10 00:00,1.134240,1.142240,1.132190,1.135720,0
2020-06-11 00:00,1.135730,1.140360,1.127650,1.129350,0
2020-06-12 00:00,1.129360,1.134050,1.121250,1.125500,0
2020-06-14 00:00,1.123290,1.126430,1.122620,1.126330,0
2020-06-15 00:00,1.126350,1.134830,1.122670,1.133940,0
2020-06-16 00:00,1.133940,1.135320,1.122780,1.126420,0
2020-06-17 00:00,1.126430,1.129390,1.120680,1.124920,0
2020-06-18 00:00,1.124910,1.126130,1.118540,1.121440,0
2020-06-19 00:00,1.121440,1.125420,1.116800,1.117590,0
2020-06-21 00:00,1.118350,1.119670,1.116840,1.119220,0
2020-06-22 00:00,1.119210,1.128090,1.118800,1.126910,0
2020-06-23 00:00,1.126900,1.134860,1.125650,1.131530,0
2020-06-24 00:00,1.131540,1.132500,1.123980,1.124200,0
2020-06-25 00:00,1.124210,1.125350,1.119030,1.122270,0
2020-06-26 00:00,1.122250,1.123930,1.119510,1.121700,0
2020-06-28 00:00,1.121490,1.124680,1.121490,1.123940,0
2020-06-29 00:00,1.123950,1.128790,1.121930,1.123770,0
2020-06-30 00:00,1.123790,1.126190,1.119100,1.122650,0
2020-07-01 00:00,1.122650,1.127510,1.118480,1.126280,0
2020-07-02 00:00,1.126280,1.130260,1.122330,1.124460,0
2020-07-03 00:00,1.124460,1.125180,1.121920,1.124640,0
2020-07-05 00:00,1.124330,1.128530,1.124110,1.128260,0
2020-07-06 00:00,1.128270,1.134540,1.128100,1.131020,0
2020-07-07 00:00,1.131010,1.131590,1.125880,1.127790,0
2020-07-08 00:00,1.127790,1.136390,1.126230,1.136220,0
2020-07-09 00:00,1.136210,1.137060,1.126930,1.127420,0
2020-07-10 00:00,1.127410,1.132470,1.125470,1.129900,0
2020-07-12 00:00,1.130390,1.133030,1.130260,1.132660,0
2020-07-13 00:00,1.132660,1.137480,1.130080,1.134200,0
2020-07-14 00:00,1.134200,1.142300,1.132510,1.139760,0
2020-07-15 00:00,1.139760,1.145200,1.139100,1.140520,0
2020-07-16 00:00,1.140510,1.144170,1.137040,1.139170,0
2020-07-17 00:00,1.139160,1.144360,1.137790,1.142690,0
2020-07-19 00:00,1.140840,1.144560,1.140840,1.141840,0
2020-07-20 00:00,1.141870,1.146960,1.140230,1.144530,0
2020-07-21 00:00,1.144520,1.154700,1.142280,1.154030,0
2020-07-22 00:00,1.154040,1.160130,1.150680,1.157680,0
2020-07-23 00:00,1.157690,1.162680,1.154030,1.161300,0
2020-07-24 00:00,1.161300,1.165800,1.158120,1.165460,0
2020-07-26 00:00,1.164300,1.172500,1.164130,1.171060,0
2020-07-27 00:00,1.171060,1.178130,1.168180,1.172430,0
2020-07-28 00:00,1.172430,1.174300,1.169870,1.172850,0
2020-07-29 00:00,1.172860,1.180610,1.171840,1.177620,0
2020-07-30 00:00,1.177620,1.190470,1.173080,1.189180,0
2020-07-31 00:00,1.189180,1.190870,1.176170,1.177530,0
2020-08-02 00:00,1.177250,1.179660,1.174050,1.177280,0
2020-08-03 00:00,1.177270,1.178490,1.169590,1.176760,0
2020-08-04 00:00,1.176760,1.182140,1.172110,1.181510,0
2020-08-05 00:00,1.181520,1.190480,1.179920,1.187250,0
2020-08-06 00:00,1.187250,1.191600,1.181790,1.182610,0
2020-08-07 00:00,1.182640,1.185060,1.175510,1.178620,0
2020-08-09 00:00,1.178860,1.179820,1.177320,1.179500,0
2020-08-10 00:00,1.179500,1.180060,1.172190,1.174860,0
2020-08-11 00:00,1.174860,1.180800,1.171590,1.172110,0
2020-08-12 00:00,1.172110,1.181710,1.171100,1.180740,0
2020-08-13 00:00,1.180750,1.186410,1.179340,1.181030,0
2020-08-14 00:00,1.181040,1.185030,1.178170,1.184140,0
2020-08-16 00:00,1.183890,1.186750,1.183240,1.185990,0
2020-08-17 00:00,1.185990,1.189650,1.182860,1.188570,0
2020-08-18 00:00,1.188580,1.196560,1.188240,1.192960,0
2020-08-19 00:00,1.192960,1.195070,1.183020,1.184720,0
2020-08-20 00:00,1.184710,1.187670,1.180190,1.187310,0
2020-08-21 00:00,1.187310,1.188280,1.175410,1.179490,0
2020-08-23 00:00,1.179110,1.180650,1.178450,1.178770,0
2020-08-24 00:00,1.178760,1.184950,1.178410,1.180580,0
2020-08-25 00:00,1.180600,1.184350,1.179790,1.181850,0
2020-08-26 00:00,1.181850,1.184970,1.177210,1.183360,0
2020-08-27 00:00,1.183370,1.190180,1.176230,1.185900,0
2020-08-28 00:00,1.185890,1.191970,1.185260,1.190180,0
2020-08-30 00:00,1.189980,1.192950,1.189660,1.191120,0
2020-08-31 00:00,1.191100,1.199720,1.188400,1.198950,0
2020-09-01 00:00,1.198940,1.201130,1.189180,1.190290,0
2020-09-02 00:00,1.190310,1.191340,1.182010,1.182080,0
2020-09-03 00:00,1.182080,1.186460,1.178890,1.184770,0
2020-09-04 00:00,1.184770,1.186540,1.178090,1.183710,0
2020-09-06 00:00,1.184320,1.184690,1.182980,1.183640,0
2020-09-07 00:00,1.183660,1.184860,1.179500,1.180820,0
2020-09-08 00:00,1.180820,1.182730,1.175700,1.178020,0
2020-09-09 00:00,1.178010,1.183390,1.175270,1.182190,0
