Datetime,open,high,low,close,volume
2020-01-01 17:00,1.121200,1.121660,1.121060,1.121430,0
2020-01-01 18:00,1.121430,1.122180,1.121420,1.121880,0
2020-01-01 19:00,1.121880,1.121900,1.121570,1.121830,0
2020-01-01 20:00,1.121820,1.122440,1.121800,1.122090,0
2020-01-01 21:00,1.122100,1.122450,1.121840,1.122220,0
2020-01-01 22:00,1.122240,1.122310,1.121240,1.121320,0
2020-01-01 23:00,1.121320,1.121430,1.120080,1.120120,0
2020-01-02 00:00,1.120110,1.120440,1.120090,1.120430,0
2020-01-02 01:00,1.120440,1.120770,1.120360,1.120770,0
2020-01-02 02:00,1.120780,1.121020,1.120430,1.120980,0
2020-01-02 03:00,1.120990,1.121370,1.120510,1.121200,0
2020-01-02 04:00,1.121190,1.121410,1.120110,1.120300,0
2020-01-02 05:00,1.120300,1.120390,1.119270,1.119820,0
2020-01-02 06:00,1.119840,1.120210,1.118420,1.118480,0
2020-01-02 07:00,1.118470,1.119430,1.118290,1.119300,0
2020-01-02 08:00,1.119290,1.119700,1.118960,1.119630,0
2020-01-02 09:00,1.119630,1.119650,1.117000,1.117410,0
2020-01-02 10:00,1.117390,1.120230,1.117080,1.120050,0
2020-01-02 11:00,1.120060,1.120300,1.116510,1.116610,0
2020-01-02 12:00,1.116610,1.117190,1.116350,1.116980,0
2020-01-02 13:00,1.116980,1.117230,1.116360,1.117020,0
2020-01-02 14:00,1.117020,1.117030,1.116420,1.116630,0
2020-01-02 15:00,1.116620,1.117150,1.116590,1.116930,0
2020-01-02 16:00,1.116920,1.117350,1.116890,1.117220,0
2020-01-02 17:00,1.117220,1.117300,1.116870,1.117130,0
2020-01-02 18:00,1.117120,1.117340,1.117010,1.117080,0
2020-01-02 19:00,1.117070,1.117600,1.116980,1.117540,0
2020-01-02 20:00,1.117530,1.117840,1.117220,1.117350,0
2020-01-02 21:00,1.117350,1.117740,1.117180,1.117250,0
2020-01-02 22:00,1.117250,1.117360,1.116950,1.117200,0
2020-01-02 23:00,1.117200,1.117490,1.116850,1.117000,0
2020-01-03 00:00,1.117000,1.117060,1.116430,1.116630,0
2020-01-03 01:00,1.116630,1.116950,1.116380,1.116910,0
2020-01-03 02:00,1.116910,1.117150,1.115210,1.115320,0
2020-01-03 03:00,1.115310,1.116040,1.115050,1.115120,0
2020-01-03 04:00,1.115120,1.115220,1.114000,1.114010,0
2020-01-03 05:00,1.114000,1.114330,1.113070,1.113600,0
2020-01-03 06:00,1.113610,1.113610,1.112490,1.113000,0
2020-01-03 07:00,1.113000,1.114260,1.112810,1.113910,0
2020-01-03 08:00,1.113920,1.114880,1.113730,1.113810,0
2020-01-03 09:00,1.113800,1.115410,1.113530,1.115220,0
2020-01-03 10:00,1.115250,1.116740,1.115250,1.116330,0
2020-01-03 11:00,1.116340,1.117980,1.116240,1.117190,0
2020-01-03 12:00,1.117200,1.117400,1.116790,1.117210,0
2020-01-03 13:00,1.117210,1.117320,1.116590,1.116660,0
2020-01-03 14:00,1.116650,1.116810,1.116120,1.116730,0
2020-01-03 15:00,1.116730,1.116740,1.116000,1.116160,0
2020-01-03 16:00,1.116140,1.116200,1.115230,1.115480,0
2020-01-05 17:00,1.116560,1.116670,1.115890,1.115940,0
2020-01-05 18:00,1.115950,1.116770,1.115920,1.116040,0
2020-01-05 19:00,1.116030,1.116850,1.116000,1.116350,0
2020-01-05 20:00,1.116350,1.116530,1.116120,1.116270,0
2020-01-05 21:00,1.116280,1.116710,1.116240,1.116530,0
2020-01-05 22:00,1.116540,1.117090,1.116530,1.116570,0
2020-01-05 23:00,1.116580,1.116610,1.116160,1.116420,0
2020-01-06 00:00,1.116440,1.116510,1.116060,1.116230,0
2020-01-06 01:00,1.116220,1.116240,1.115710,1.116070,0
2020-01-06 02:00,1.116060,1.116670,1.115970,1.116460,0
2020-01-06 03:00,1.116470,1.117990,1.116320,1.117850,0
2020-01-06 04:00,1.117860,1.119360,1.117510,1.119320,0
2020-01-06 05:00,1.119340,1.119960,1.118990,1.119640,0
2020-01-06 06:00,1.119630,1.120550,1.119620,1.120320,0
2020-01-06 07:00,1.120320,1.120430,1.119510,1.119810,0
2020-01-06 08:00,1.119820,1.120320,1.119110,1.119760,0
2020-01-06 09:00,1.119760,1.120020,1.118250,1.118310,0
2020-01-06 10:00,1.118320,1.119020,1.118210,1.118860,0
2020-01-06 11:00,1.118870,1.118960,1.118090,1.118720,0
2020-01-06 12:00,1.118720,1.119600,1.118420,1.119500,0
2020-01-06 13:00,1.119520,1.119790,1.119170,1.119190,0
2020-01-06 14:00,1.119180,1.119280,1.118790,1.119120,0
2020-01-06 15:00,1.119140,1.119390,1.118890,1.119360,0
2020-01-06 16:00,1.119360,1.119890,1.119280,1.119680,0
2020-01-06 17:00,1.119600,1.119610,1.119280,1.119550,0
2020-01-06 18:00,1.119550,1.119750,1.119410,1.119540,0
2020-01-06 19:00,1.119530,1.119540,1.118910,1.118970,0
2020-01-06 20:00,1.118970,1.119700,1.118960,1.119340,0
2020-01-06 21:00,1.119340,1.119340,1.119090,1.119130,0
2020-01-06 22:00,1.119140,1.119430,1.119120,1.119220,0
2020-01-06 23:00,1.119210,1.119340,1.119050,1.119090,0
2020-01-07 00:00,1.119080,1.119240,1.118280,1.118300,0
2020-01-07 01:00,1.118290,1.118970,1.118090,1.118160,0
2020-01-07 02:00,1.118150,1.118540,1.117290,1.117400,0
2020-01-07 03:00,1.117400,1.118750,1.117260,1.118470,0
2020-01-07 04:00,1.118460,1.118960,1.118050,1.118450,0
2020-01-07 05:00,1.118460,1.118620,1.116480,1.117620,0
2020-01-07 06:00,1.117620,1.118490,1.117200,1.118160,0
2020-01-07 07:00,1.118170,1.118310,1.117080,1.117480,0
2020-01-07 08:00,1.117460,1.117780,1.115480,1.115610,0
2020-01-07 09:00,1.115600,1.116220,1.114650,1.114780,0
