Scenario,Monthly_Deposit,Total_Deposited,Final_Value,Total_Profit,ROI_Pct,CAGR_Pct,Max_Drawdown_Pct
$500/month,500,39000,70342.23204233487,31342.232042334872,80.36469754444839,58.4887802555543,-29.837251350597317
"$1,000/month",1000,73000,126781.49674317062,53781.49674317062,73.67328320982276,75.61435827049468,-23.530553260761423
"$5,000/month",5000,345000,578295.6143498573,233295.61434985732,67.62191720285719,128.74905155752217,-21.981914812433423
