date,action,ticker,shares,price,value,fee,regime
2014-01-02,BUY,AMZN,678.9669323246886,19.898500442504883,13510.423803308999,13.510423803309,STRONG_BULL
2014-01-02,BUY,META,308.7858372398655,54.374794006347656,16790.16629199528,16.79016629199528,STRONG_BULL
2014-01-02,BUY,MA,158.75250682564945,77.53852844238281,12309.435765800192,12.309435765800192,STRONG_BULL
2014-01-02,BUY,AVGO,4520.7154488399665,3.9228110313415527,17733.9124322656,17.733912432265598,STRONG_BULL
2014-01-02,BUY,ADBE,172.63846692583286,59.290000915527344,10235.734862087867,10.235734862087869,STRONG_BULL
2014-01-02,BUY,NFLX,335.0560026455638,51.83142852783203,17366.43125394464,17.36643125394464,STRONG_BULL
2014-04-01,SELL,AMZN,678.9669323246886,17.149499893188477,11643.943333380756,11.643943333380756,STRONG_BULL
2014-04-01,SELL,META,308.7858372398655,62.236331939697266,19217.6978647376,19.2176978647376,STRONG_BULL
2014-04-01,SELL,MA,158.75250682564945,69.63323974609375,11054.451368083832,11.054451368083832,STRONG_BULL
2014-04-01,SELL,AVGO,4520.7154488399665,4.867427349090576,22004.254013139933,22.004254013139935,STRONG_BULL
2014-04-01,SELL,ADBE,172.63846692583286,65.93000030517578,11382.05417710524,11.382054177105239,STRONG_BULL
2014-04-01,SELL,NFLX,335.0560026455638,52.09857177734375,17455.939203259783,17.45593920325978,STRONG_BULL
2014-04-01,BUY,NVDA,32789.36721152497,0.44164156913757324,14481.147586325984,14.481147586325983,STRONG_BULL
2014-04-01,BUY,META,213.02866366629354,62.236331939697266,13258.12262460557,13.258122624605571,STRONG_BULL
2014-04-01,BUY,TSLA,833.9268009017352,14.464667320251465,12062.473744485178,12.062473744485178,STRONG_BULL
2014-04-01,BUY,MRK,371.6845127804968,37.68986129760742,14008.737733165717,14.008737733165717,STRONG_BULL
2014-04-01,BUY,AVGO,4992.4157159392835,4.867427349090576,24300.220793792476,24.300220793792477,STRONG_BULL
2014-04-01,BUY,TMO,116.87379857361147,117.5452880859375,13737.964323032991,13.737964323032992,STRONG_BULL
2014-07-01,SELL,NVDA,32789.36721152497,0.4460546374320984,14625.849303164707,14.625849303164706,STRONG_BULL
2014-07-01,SELL,META,213.02866366629354,67.64298248291016,14409.894164736854,14.409894164736855,STRONG_BULL
2014-07-01,SELL,TSLA,833.9268009017352,15.981332778930664,13327.261718479685,13.327261718479686,STRONG_BULL
2014-07-01,SELL,MRK,371.6845127804968,39.41559600830078,14650.16659829817,14.65016659829817,STRONG_BULL
2014-07-01,SELL,AVGO,4992.4157159392835,5.56212043762207,27768.41748673151,27.768417486731508,STRONG_BULL
