Method,Final_Value,Total_Return_Pct,Annualized_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Total_Trades,Win_Rate_Pct,Stops_Triggered,Replacements_Made
Baseline (No Stops),394146.4968079999,294.14649680799994,13.304862545779294,-41.50953890467417,0.49961741166512125,140,60.71428571428571,0,0
Dynamic -15% Stop,341674.9368902616,241.6749368902616,11.840201928290117,-41.88377996992293,0.47958041051712885,157,57.324840764331206,17,17
Dynamic -18% Stop,385568.6363443985,285.5686363443985,13.078035212767091,-41.51583106869226,0.496505567312704,149,60.40268456375839,9,9
Dynamic -20% Stop,385125.66646648396,285.125666466484,13.066197467451834,-41.515828537912306,0.49635889149719054,145,61.37931034482759,5,5
