year,return,sharpe
2015,0.0,inf
2016,0.0,inf
2017,19.987088813655866,1.4945789095766981
2018,-16.203993126154426,-0.7974898696231223
2019,0.0,inf
2020,75.47884057027325,1.7295770941241473
2021,0.0,inf
2022,-23.898372024432117,-0.7227607906838219
2023,0.0,inf
2024,10.338690828271503,1.6145951477551181
