Configuration,Portfolio_Size,Final_Value,Total_Return_Pct,Annualized_Pct,Max_Drawdown_Pct,Sharpe_Ratio,SPY_Return_Pct,Outperformance_Pct
BASELINE: 10 Stocks + 100% GLD,10,1203413.9399291466,1103.4139399291466,38.84156863185453,-38.51591107911686,1.1581882915499593,290.2329865036544,813.1809534254922
TEST: 7 Stocks + 100% GLD,7,1206387.8014485787,1106.3878014485788,38.88677957433946,-38.51591107911689,1.1591367138908615,290.2329865036544,816.1548149449244
