Stop_Level,Final_Value,Total_Return_Pct,Annualized_Return_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Total_Trades,Win_Rate_Pct,Avg_Win,Avg_Loss,Profit_Factor,Return_DD_Ratio,Trades_Per_Year
None,1203413.8429339759,1103.413842933976,38.84156715567806,-38.515918011610964,1.1581885005524373,58,98.27586206896551,1055676.3422552715,-474.33144227297436,126859.71484454328,28.648255056554593,5.28225514998193
0.15,109448.14378313633,9.448143783136357,1.1980283934116986,-37.68445459251231,0.15823697375957657,280,55.714285714285715,26114.970265632615,-13589.277125475559,2.417664834383707,0.2507172754734163,25.50054210336104
0.18,123480.04449905611,23.480044499056152,2.8212069380676663,-34.44665987100331,0.24032233239807094,263,58.174904942965775,26275.27966920345,-13135.225264657714,2.7823295468261042,0.6816348693018363,23.95229490422841
0.2,124201.23666445287,24.201236664452896,2.9002242521122046,-34.52308315473152,0.24415676177076157,257,60.311284046692606,26320.02869367947,-13689.613637303859,2.9216399450109005,0.7010160870042692,23.405854716299242
