Method,Final_Value,Total_Return_Pct,Annualized_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Total_Trades,Stops_Triggered,Replacements_Made
BASELINE - Full Strategy (No Stops),244486.85407975616,144.48685407975614,8.48251269302347,-60.35475300548854,0.5082649936726424,126,0,0
Full Strategy + Dynamic -15% Stops,199901.6404917227,99.9016404917227,6.511464926618182,-60.499803601099075,0.4907158181777419,142,17,16
Full Strategy + Dynamic -18% Stops,238621.3420809067,138.6213420809067,8.242859166336114,-60.36574132164273,0.5059876315464664,135,9,9
Full Strategy + Dynamic -20% Stops,237471.9449796751,137.47194497967513,8.195270445619718,-60.36574132164275,0.5056089716169073,131,5,5
