Strategy,Total Return (%),Annualized (%),Sharpe,Max DD (%),Win Rate (%)
Pure Fixed (Baseline),368.7198281653204,44.59860813282837,0.7319469530665679,63.365947338221964,
Pure Dynamic TQS,27.34248064258583,5.939959814555218,0.490061842995695,66.3881974799553,32.743362831858406
Hybrid 70/30 TQS,1917.7795965381488,104.88332799975129,1.4652670893667556,46.315843317750485,47.23404255319149
