,Value
Total Return,15569.37%
Annualized Return,139.63%
Sharpe Ratio,1.78
Max Drawdown,-44.26%
Win Rate,61.90%
Profit Factor,3.00
Total Trades,210
Start Date,2020-01-01
End Date,2025-10-11
Initial Capital,"$100,000"
Final Value,"$15,669,368.31"
