Qualifier,Code,Total_Return_Pct,Sharpe_Ratio,Max_Drawdown_Pct,Num_Trades,Win_Rate_Pct,Profit_Factor,vs_SPY_Pct,Final_Value
Breakout Strength Score,BSS,217.14414689757425,0.0,-21.519863695515483,2002,71.57842157842158,4.138744578542077,121.84868729971758,317144.14689757425
ATR-Normalized Momentum,ANM,193.5792051132592,0.0,-23.235929822622094,2177,69.13183279742765,3.3490455419175773,98.28374551540254,293579.2051132592
Volatility Expansion Momentum,VEM,177.8853733368804,0.0,-33.46460486067638,2301,65.75401999130813,3.8597530741047255,82.58991373902374,277885.3733368804
ROC (Original Nick Radge),ROC,166.10350050081274,0.0,-30.387159354720627,2136,65.21535580524345,3.6765385943027318,70.80804090295608,266103.5005008127
