Datetime,open,high,low,close,volume
2020-01-01 16:00:00,1518.768,1521.068,1518.008,1518.625,0
2020-01-01 20:00:00,1518.605,1521.135,1517.115,1519.485,0
2020-01-02 00:00:00,1519.425,1521.375,1518.395,1520.748,0
2020-01-02 04:00:00,1520.758,1523.615,1519.515,1523.048,0
2020-01-02 08:00:00,1522.995,1531.328,1522.648,1525.455,0
2020-01-02 12:00:00,1525.468,1528.548,1522.715,1528.298,0
2020-01-02 16:00:00,1528.308,1530.588,1527.835,1530.475,0
2020-01-02 20:00:00,1530.475,1540.968,1529.868,1538.715,0
2020-01-03 00:00:00,1538.698,1545.378,1538.288,1544.265,0
2020-01-03 04:00:00,1544.285,1551.445,1544.125,1546.365,0
2020-01-03 08:00:00,1546.358,1550.988,1540.848,1548.238,0
2020-01-03 12:00:00,1548.148,1553.515,1546.158,1548.978,0
2020-01-03 16:00:00,1548.978,1552.148,1548.548,1551.515,0
2020-01-05 16:00:00,1559.735,1585.625,1559.735,1569.475,0
2020-01-05 20:00:00,1569.465,1579.965,1568.725,1576.025,0
2020-01-06 00:00:00,1576.025,1577.735,1570.145,1575.645,0
2020-01-06 04:00:00,1575.635,1579.278,1574.155,1576.595,0
2020-01-06 08:00:00,1576.595,1577.655,1560.755,1564.665,0
2020-01-06 12:00:00,1564.688,1568.468,1562.075,1565.508,0
2020-01-06 16:00:00,1565.508,1566.665,1562.515,1564.255,0
2020-01-06 20:00:00,1564.235,1564.575,1555.248,1559.165,0
2020-01-07 00:00:00,1559.168,1570.845,1558.965,1564.835,0
2020-01-07 04:00:00,1564.845,1569.525,1563.198,1565.095,0
2020-01-07 08:00:00,1565.135,1571.728,1564.548,1571.048,0
2020-01-07 12:00:00,1571.048,1573.088,1569.498,1571.745,0
2020-01-07 16:00:00,1571.735,1611.325,1571.468,1598.878,0
2020-01-07 20:00:00,1598.878,1604.685,1583.538,1593.105,0
2020-01-08 00:00:00,1593.075,1595.338,1579.925,1580.915,0
2020-01-08 04:00:00,1580.915,1585.655,1573.415,1575.315,0
2020-01-08 08:00:00,1575.395,1578.258,1552.568,1558.878,0
2020-01-08 12:00:00,1558.818,1562.208,1552.178,1559.818,0
2020-01-08 16:00:00,1559.758,1560.718,1553.735,1556.565,0
2020-01-08 20:00:00,1556.635,1561.285,1555.958,1558.325,0
2020-01-09 00:00:00,1558.325,1558.905,1540.105,1547.268,0
